name,url,reach,taggings,streamable,wiki
rock,https://www.last.fm/tag/rock,394682,3965333,1,{}
electronic,https://www.last.fm/tag/electronic,253060,2354630,1,{}
seen live,https://www.last.fm/tag/seen+live,81678,2137632,1,{}
alternative,https://www.last.fm/tag/alternative,261150,2092852,1,{}
indie,https://www.last.fm/tag/indie,252609,2012834,1,{}
pop,https://www.last.fm/tag/pop,224708,1962266,1,{}
female vocalists,https://www.last.fm/tag/female+vocalists,167679,1598297,1,{}
metal,https://www.last.fm/tag/metal,155199,1255720,1,{}
alternative rock,https://www.last.fm/tag/alternative+rock,166464,1161841,1,{}
jazz,https://www.last.fm/tag/jazz,146165,1142743,1,{}
classic rock,https://www.last.fm/tag/classic+rock,136546,1138182,1,{}
ambient,https://www.last.fm/tag/ambient,143553,1045438,1,{}
experimental,https://www.last.fm/tag/experimental,138540,1042795,1,{}
folk,https://www.last.fm/tag/folk,147004,910649,1,{}
punk,https://www.last.fm/tag/punk,141564,874850,1,{}
indie rock,https://www.last.fm/tag/indie+rock,133005,870496,1,{}
hard rock,https://www.last.fm/tag/hard+rock,113696,853926,1,{}
Hip-Hop,https://www.last.fm/tag/Hip-Hop,126143,852106,1,{}
instrumental,https://www.last.fm/tag/instrumental,122716,835174,1,{}
singer-songwriter,https://www.last.fm/tag/singer-songwriter,107871,827740,1,{}
black metal,https://www.last.fm/tag/black+metal,61301,824598,1,{}
dance,https://www.last.fm/tag/dance,131710,794968,1,{}
80s,https://www.last.fm/tag/80s,99773,773330,1,{}
Progressive rock,https://www.last.fm/tag/Progressive+rock,95085,719047,1,{}
death metal,https://www.last.fm/tag/death+metal,70734,705614,1,{}
heavy metal,https://www.last.fm/tag/heavy+metal,89345,694664,1,{}
hardcore,https://www.last.fm/tag/hardcore,96715,684993,1,{}
british,https://www.last.fm/tag/british,92518,681873,1,{}
soul,https://www.last.fm/tag/soul,99621,665760,1,{}
chillout,https://www.last.fm/tag/chillout,102971,645501,1,{}
electronica,https://www.last.fm/tag/electronica,101267,629234,1,{}
Classical,https://www.last.fm/tag/Classical,73452,558671,1,{}
industrial,https://www.last.fm/tag/industrial,82802,552055,1,{}
Soundtrack,https://www.last.fm/tag/Soundtrack,83439,551666,1,{}
rap,https://www.last.fm/tag/rap,102170,551195,1,{}
blues,https://www.last.fm/tag/blues,94985,541956,1,{}
punk rock,https://www.last.fm/tag/punk+rock,96733,540871,1,{}
thrash metal,https://www.last.fm/tag/thrash+metal,61814,487208,1,{}
90s,https://www.last.fm/tag/90s,56409,476880,1,{}
acoustic,https://www.last.fm/tag/acoustic,109653,472878,1,{}
metalcore,https://www.last.fm/tag/metalcore,66307,469511,1,{}
psychedelic,https://www.last.fm/tag/psychedelic,76989,468168,1,{}
japanese,https://www.last.fm/tag/japanese,48028,454160,1,{}
post-rock,https://www.last.fm/tag/post-rock,64332,437463,1,{}
german,https://www.last.fm/tag/german,58823,429460,1,{}
Progressive metal,https://www.last.fm/tag/Progressive+metal,61582,429010,1,{}
funk,https://www.last.fm/tag/funk,81809,419798,1,{}
hip hop,https://www.last.fm/tag/hip+hop,75864,419383,1,{}
new wave,https://www.last.fm/tag/new+wave,63263,414379,1,{}
trance,https://www.last.fm/tag/trance,64045,410453,1,{}
