listeners,name,playcount,streamable,url
579698,Billie Eilish,34500253,0,https://www.last.fm/music/Billie+Eilish
1944578,Lana Del Rey,228898767,0,https://www.last.fm/music/Lana+Del+Rey
2285183,Taylor Swift,193242516,0,https://www.last.fm/music/Taylor+Swift
1711102,Ed Sheeran,92129558,0,https://www.last.fm/music/Ed+Sheeran
1159819,Ariana Grande,122758704,0,https://www.last.fm/music/Ariana+Grande
4079971,Queen,197345487,0,https://www.last.fm/music/Queen
639290,Post Malone,31600233,0,https://www.last.fm/music/Post+Malone
3437488,Drake,147273352,0,https://www.last.fm/music/Drake
4444726,Kanye West,249411878,0,https://www.last.fm/music/Kanye+West
3727455,The Beatles,525995281,0,https://www.last.fm/music/The+Beatles
4775137,Radiohead,507011803,0,https://www.last.fm/music/Radiohead
3796788,Katy Perry,151524600,0,https://www.last.fm/music/Katy+Perry
4614285,Rihanna,203711037,0,https://www.last.fm/music/Rihanna
1523998,Kendrick Lamar,108986150,0,https://www.last.fm/music/Kendrick+Lamar
674308,Shawn Mendes,28414578,0,https://www.last.fm/music/Shawn+Mendes
3546800,Arctic Monkeys,338777083,0,https://www.last.fm/music/Arctic+Monkeys
3626953,Beyoncé,164843221,0,https://www.last.fm/music/Beyonc%C3%A9
3398192,David Bowie,197204732,0,https://www.last.fm/music/David+Bowie
305204,Lil Nas X,5700438,0,https://www.last.fm/music/Lil+Nas+X
2088453,Miley Cyrus,69686304,0,https://www.last.fm/music/Miley+Cyrus
3873268,Lady Gaga,291591617,0,https://www.last.fm/music/Lady+Gaga
1179967,Tame Impala,77668652,0,https://www.last.fm/music/Tame+Impala
5425962,Coldplay,363768511,0,https://www.last.fm/music/Coldplay
836408,"Tyler, the Creator",55492787,0,"https://www.last.fm/music/Tyler,+the+Creator"
4662379,Red Hot Chili Peppers,297680402,0,https://www.last.fm/music/Red+Hot+Chili+Peppers
2243349,Calvin Harris,75605091,0,https://www.last.fm/music/Calvin+Harris
1636340,Tool,121390030,0,https://www.last.fm/music/Tool
258128,Lizzo,6413013,0,https://www.last.fm/music/Lizzo
1004445,Sam Smith,30646327,0,https://www.last.fm/music/Sam+Smith
2200383,Fleetwood Mac,70317034,0,https://www.last.fm/music/Fleetwood+Mac
4316767,Nirvana,225718211,0,https://www.last.fm/music/Nirvana
4565370,Eminem,203697531,0,https://www.last.fm/music/Eminem
1322368,The Weeknd,80928456,0,https://www.last.fm/music/The+Weeknd
3122297,Pink Floyd,318267703,0,https://www.last.fm/music/Pink+Floyd
3838690,The Rolling Stones,156832332,0,https://www.last.fm/music/The+Rolling+Stones
979110,Childish Gambino,53858653,0,https://www.last.fm/music/Childish+Gambino
3618769,Gorillaz,173048826,0,https://www.last.fm/music/Gorillaz
1253677,Frank Ocean,86434327,0,https://www.last.fm/music/Frank+Ocean
267402,BROCKHAMPTON,34712053,0,https://www.last.fm/music/BROCKHAMPTON
1706677,Imagine Dragons,85139850,0,https://www.last.fm/music/Imagine+Dragons
2014686,Bon Iver,122334386,0,https://www.last.fm/music/Bon+Iver
2972952,The Cure,159780176,0,https://www.last.fm/music/The+Cure
4469085,The Killers,211149736,0,https://www.last.fm/music/The+Killers
1294051,Lorde,75954352,0,https://www.last.fm/music/Lorde
483514,Khalid,15490110,0,https://www.last.fm/music/Khalid
815066,Charli XCX,33782268,0,https://www.last.fm/music/Charli+XCX
2971197,Led Zeppelin,191307792,0,https://www.last.fm/music/Led+Zeppelin
3822111,Daft Punk,212101104,0,https://www.last.fm/music/Daft+Punk
844891,The Chainsmokers,23239126,0,https://www.last.fm/music/The+Chainsmokers
2252478,Panic! at the Disco,115197125,0,https://www.last.fm/music/Panic%21+at+the+Disco
